time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,angular_acc_x,angular_acc_y,angular_acc_z,angular_jerk_x,angular_jerk_y,angular_jerk_z,angular_snap_x,angular_snap_y,angular_snap_z,heading,heading_rate,heading_acc
0.22000000,18.06432577,10.88368390,1.99995473,-0.28372834,0.06668270,0.00463965,-3.51544565,0.82621084,0.05612152,-19.87489210,4.67105818,0.31938149,121.16596267,-28.47679764,-1.91087482,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.24000000,18.05792245,10.88518883,2.00005916,-0.35784347,0.08410147,0.00582329,-3.88730555,0.91360650,0.06210421,-17.25015960,4.05418547,0.27789568,139.45795436,-32.77583761,-2.20836130,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.26000000,18.04996607,10.88705876,2.00018840,-0.43885010,0.10313990,0.00711795,-4.20373868,0.98797558,0.06720921,-14.36778704,3.37676140,0.23217909,147.08836411,-34.56915979,-2.33636638,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.28000000,18.04033014,10.88932343,2.00034450,-0.52560204,0.12352860,0.00850545,-4.46165187,1.04859113,0.07138470,-11.42966176,2.68623416,0.18544693,145.27722798,-34.14350084,-2.31371067,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.30000000,18.02891149,10.89200707,2.00052912,-0.61692981,0.14499274,0.00996718,-4.66171458,1.09561049,0.07463888,-8.60875203,2.02325528,0.14046506,135.66631367,-31.88471406,-2.16603241,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.32000000,18.01562996,10.89512854,2.00074356,-0.71170964,0.16726818,0.01148524,-4.80770778,1.12992225,0.07702983,-6.04239990,1.42010332,0.09944089,120.15027248,-28.23808624,-1.92312607,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.34000000,18.00042694,10.89870160,2.00098879,-0.80891824,0.19011445,0.01304326,-4.90577096,1.15296936,0.07865364,-3.82876049,0.89984698,0.06396390,100.73067134,-23.67403179,-1.61663294,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.36000000,17.98326296,10.90273553,2.00126546,-0.90767211,0.21332389,0.01462708,-4.96360563,1.16656184,0.07963187,-2.02594044,0.47614268,0.03498898,79.39186540,-18.65891997,-1.27806851,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.38000000,17.96411460,10.90723584,2.00157397,-1.00725076,0.23672717,0.01622512,-4.98968506,1.17269111,0.08009894,-0.65340927,0.15356619,0.01285600,57.99767187,-13.63079082,-0.93717150,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.40000000,17.94297114,10.91220504,2.00191450,-1.10710464,0.26019513,0.01782853,-4.99251150,1.17335539,0.08019032,0.30472218,-0.07161680,-0.00266072,38.20780567,-8.97971565,-0.62055941,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
0.42000000,17.91983118,10.91764346,2.00228710,-1.20684893,0.28363734,0.01943107,-4.97995444,1.17040419,0.08003192,0.89494096,-0.21033183,-0.01227900,21.41303749,-5.03255766,-0.35067543,0.70710677,0.00000000,0.00000000,0.70710680,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.57079637,0.00000000,0.00000000
