time_from_start,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,acc_x,acc_y,acc_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,reference_progress,pitch_angle
1.58600000,15.66811754,12.30992308,2.30633584,-2.98125916,0.93460331,0.32711180,-0.98471828,-2.48099981,1.59190662,0.87109427,0.08864644,-0.12141155,0.46754232,0.77768487,2.00306484,0.56286748,71,0.00000000
1.65200000,15.47019209,12.36418034,2.33393083,-3.00133443,0.72645254,0.50356164,-0.49481121,-2.06759977,2.03055493,0.86481437,0.07462305,-0.05894033,0.49300460,0.43712762,1.64962028,0.71915251,74,0.00000000
1.71900000,15.27049233,12.40785115,2.37334153,-2.95272592,0.59056656,0.66815594,-0.06673353,-1.50101296,2.03609530,0.85285306,0.05533507,-0.01685044,0.51893714,-0.07195933,1.19782120,0.83389082,77,0.00000000
1.78600000,15.07511190,12.44472107,2.42236050,-2.88026390,0.52130776,0.77821000,0.13306263,-0.96574026,1.52357206,0.83789590,0.02984682,0.00441588,0.54499553,-0.48265339,0.72408318,0.89886888,81,0.00000000
1.85300000,14.88427047,12.47873418,2.47517236,-2.82213343,0.50015071,0.77481754,0.10119690,-0.50536773,0.44986222,0.82106735,0.00248424,0.00443300,0.57080871,-0.86682212,0.25415216,0.91989835,84,0.00000000
1.91900000,14.69903565,12.51172978,2.52284822,-2.79717956,0.50113331,0.65269003,-0.07359250,-0.38809317,-0.89394147,0.80304636,-0.02118272,-0.01565210,0.59533423,-0.92004169,-0.55485501,0.90953369,87,0.00000000
1.98700000,14.50870993,12.54568591,2.56078769,-2.80634324,0.49388126,0.46472067,-0.36166612,-0.45975931,-2.10197084,0.78265651,-0.02661080,-0.05766371,0.61920558,-0.85369773,-1.09095997,0.87651690,90,0.00000000
2.05300000,14.32231456,12.57735331,2.58477775,-2.84582643,0.46171878,0.26232727,-0.59774535,-0.63163936,-2.68241549,0.76136894,-0.02451746,-0.10084297,0.63995853,-0.57822519,-1.12170443,0.82602324,94,0.00000000
2.11800000,14.13536809,12.60549372,2.59547044,-2.90916686,0.39944969,0.07651828,-0.74813319,-0.82491895,-2.70907799,0.74048244,-0.01556504,-0.13252568,0.65869600,-0.15208143,-0.78685613,0.76722151,97,0.00000000
2.18600000,13.93464965,12.62932421,2.59587245,-2.99613052,0.29489923,-0.04391090,-0.71986606,-1.30726263,-2.12911136,0.71996608,0.00106727,-0.14827414,0.67798413,0.39371726,-0.87168299,0.73229314,100,0.00000000
